BnDRS_UBD_0012,-1179.111
BnDRS_UBD_0009,-1192.410
BnDRS_UBD_0004,-1187.884
BnDRS_UBD_0010,-1195.219
BnDRS_UBD_0018,-1174.567
BnDRS_UBD_0011,-1180.246
BnDRS_UBD_0013,-1181.786
BnDRS_UBD_0003,-1188.966
BnDRS_UBD_0008,-1191.151
BnDRS_UBD_0017,-1183.043
BnDRS_UBD_0005,-1185.581
BnDRS_UBD_0016,-1189.101
BnDRS_UBD_0006,-1176.945
BnDRS_UBD_0014,-1194.058
BnDRS_UBD_0007,-1182.329
BnDRS_UBD_0002,-1192.298
BnDRS_UBD_0019,-1194.035
BnDRS_UBD_0015,-1203.894
BnDRS_UBD_0001,-1197.689
BnDRS_UBD_0022,-1179.331
BnDRS_UBD_0020,-1198.287
BnDRS_UBD_0021,-1182.069
BnDRS_UBD_0034,-1183.696
BnDRS_UBD_0026,-1182.469
BnDRS_UBD_0025,-1189.117
BnDRS_UBD_0030,-1187.557
BnDRS_UBD_0028,-1182.364
BnDRS_UBD_0035,-1176.289
BnDRS_UBD_0023,-1169.117
BnDRS_UBD_0027,-1180.621
BnDRS_UBD_0033,-1190.161
BnDRS_UBD_0024,-1190.848
BnDRS_UBD_0032,-1200.287
BnDRS_UBD_0029,-1197.620
BnDRS_UBD_0031,-1198.488
BnDRS_UBD_0036,-1185.831
BnDRS_UBD_0038,-1182.415
BnDRS_UBD_0037,-1189.396
BnDRS_UBD_0039,-1178.424
BnDRS_UBD_0040,-1175.665
BnDRS_UBD_0041,-1191.992
BnDRS_UBD_0042,-1169.475
BnDRS_UBD_0045,-1179.996
BnDRS_UBD_0047,-1178.386
BnDRS_UBD_0046,-1188.479
BnDRS_UBD_0043,-1179.247
BnDRS_UBD_0048,-1171.542
BnDRS_UBD_0049,-1168.812
BnDRS_UBD_0044,-1207.611
BnDRS_UBD_0050,-1194.480
